ID,Title,Tags,Category,Year,Description,ImageURL,Awards
Jewelry,Wearable Type Series,"""Jewelry design, Metalwork, Wearables/Self-Initiated""",jewelry,2025,"""Designed and created 26 sterling silver rings, each shaped like a letterform. Designed to be worn in multiple orientations and connect identity to form through tactile, wearable typography.""",Jewelry.webp,Awarded GCAC: Funds for Artists grant
JewelryFont,Jewelry Typeface,"""Type design, Branding/Self-Initiated""",branding,2025,"""Designed a custom typeface inspired by the geometry of a Wearable Type Series. Designed for future use in branding, packaging, and digital marketing.""",JewelryFont.webp,
StarRings,Custom Star Rings,"""Jewelry Design, Metalwork/Self-Initiated""",jewelry,2024,"""Designed and handcrafted a series of star-shaped rings""",StarRings.webp,
Rings,Learning Metalsmithing,"""Jewelry, Metalwork/Self-Initiated""",jewelry,2024,"""Learned the basics of metalsmithing rings with a variety of techniques like soldering, dapping, and stone setting.""",Rings.webp,
MachineKnit,Algorithmic Textile Design,"""Textiles, Knitting Machine/Self-Initiated""",textile,2024,"""Programmed a knitting machine to play around with textures, tension, and patterns. Used with CMU Textiles Lab's Shima Seiki’s knitting machine and language.""",MachineKnit.webp,
RecipeApp,FlavorSaver,"""Front-end Dev, UX Design, Swift/Collaborative""",dev,2024,"""Designed and co-developed a mobile recipe experience to inspire users with new meal ideas. Prioritized clarity and ease of use, especially for busy hands in the kitchen.""",RecipeApp.gif,
Stickers,Yarnivores Branding,"""Branding, Illustration/Collaborative""",branding,2023,"""As Design Chair of CMU’s crochet and knitting club, created a playful brand identity mixing yarn and carnivores. Designed illustrations that were printed as sticker sheets and adapted for digital use across social media.",Stickers.webp,
ImpactCMU,ImpactCMU,"""Web Design, Social Good/Project Lead, Collaborative""",dev,2022-2024,"""Led design and dev of a promotional site for a university social good project showcase. Focused on both increasing project submissions and boosting student and alumni attendees.""",ImpactCMU.gif,
Arch,Reflective Tunnel | Lunar Gala: Liminal,"""Installation, Stage Design/Project Lead, Collaborative""",installation,2024,"""Led the design and construction of a mirrored runway tunnel for a student fashion show. Created an immersive audience experience by blending reflection, light, and motion with the show’s visual identity.""",Arch.webp,
CrochetAmigurumi,Amigurumi Scavenger Hunt,"""Textiles, Crochet/Collaborative""",textile,2024,"""Crocheted tiny creatures with CMU’s Yarnivores club and hid them around campus during finals to bring surprise and play into a stressful week""",CrochetAmigurumi.webp,
Inflatables,Inflatable Bunnies | Lunar Gala: Morii,"""Installation, Inflatables, Textiles/Project Lead, Collaborative""",installation,2023,"""Led the creation of a 12-foot inflatable bunny sculptures for a fashion show runway. Prototyped in clay, scaled digitally, and fabricated with large-scale textiles to excite attendees as they entered the fashion show.""",Inflatables.webp,
Adulting,Adulting 101,"""Full-stack Dev, Persuasive Design, Swift/Academic Research, Collaborative""",dev,2021-2022,"""Contributed to a research project with CMU’s Connected Experience Lab, exploring how embedded design can support “adulting” skills. Helped design and develop key features for a game-based prototype and assisted with research to test the effectiveness of persuasive design techniques.""",Adulting.gif,
CCC,Cross Country Connections,"""Physical Computing, Interactive/Collaborative""",physicalComputing,2021-2022,"""Co-created an interactive installation connecting users in Pittsburgh and San Francisco through light and touch. Used networked buttons and LEDs to explore how tactile play can build long-distance emotional connection.""",CCC.webp,Awarded Meeting of the Minds: Award for Artistic Excellence
DuquesneIncline,Duquesne Incline Microsite,"""Web Design, HTML, CSS, JavaScript/Self-initiated""",dev,2021,"""Developed an informational microsite highlighting a Pittsburgh landmark. Used vertical navigation to playfully mirror to the motion of the real incline.""",DuquesneIncline.gif,
AcrylicPour,Acrylic Pour Project,"""Physical Computing, Accessibility/Collaborative""",physicalComputing,2021,"""Co-created a custom, Arduino-powered tool to enable a woman with cerebral palsy create acrylic pour paintings and independently enjoy her hobby.""",AcrylicPour.webp,
SentenceMosaics,Sentence Mosaics,"""Full-stack Dev,React/Collaborative""",dev,2021,"""Contributed to a sentence-building game inspired by speech therapy methods. Made the interface responsive to tablets and phones with touch-friendly interactions.""",SentenceMosaics.gif,
TrashWeaving,Trash Weaving,"""Textiles, Trash Bags/Collaborative""",textile,2021,"""Created a weaving with leftover dorm trash bags into a woven seat with help from roommates""",TrashWeaving.webp,
Embroidery,Embroidered Water Lilies,"""Textiles, Embroidery/Self-Initiated",textile,2020,"""Embroided a piece inspired by Van Gogh's Water Lilies with thread and beads.""",Embroidery.webp,
TwentyFour,24,"""Full-stack Dev, Game Design, Swift/Self-initated""",dev,2020,"""Reimagined and developed my brother’s favorite card game as a mobile app. Incorporated a solver feature to make the most of being digital.""",TwentyFour.gif,
